cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density
6.021084337349398,50.85806024096385,3.685905762375384,0,1959,2068
6.042803212851406,50.85806024096385,3.636812079203599,0,2333,2068
5.67358232931727,50.87480321285141,4.061060379906668,0,1318,2246
5.695301204819277,50.87480321285141,4.07534540985913,0,2695,2246
5.717020080321285,50.87480321285141,4.084068906622761,0,4179,2246
5.738738955823294,50.87480321285141,4.08699039203919,0,5686,695
5.760457831325302,50.87480321285141,4.083978471510248,1,7203,695
5.782176706827309,50.87480321285141,4.075021854980087,0,8724,447
5.803895582329318,50.87480321285141,4.060233414825728,0,10247,447
5.825614457831326,50.87480321285141,4.03984679980724,0,11439,447
5.847333333333333,50.87480321285141,4.014205959497396,0,10944,447
5.869052208835342,50.87480321285141,3.98374870478624,0,9483,393
5.89077108433735,50.87480321285141,3.948986004615135,0,8046,393
5.912489959839357,50.87480321285141,3.910479013829204,0,6652,393
5.934208835341366,50.87480321285141,3.8688158240426818,0,5331,393
5.955927710843374,50.87480321285141,3.8245896719955095,0,4157,1948
5.977646586345382,50.87480321285141,3.778379912303696,0,3288,1948
5.99936546184739,50.87480321285141,3.7307365622205686,0,3003,1948
6.021084337349398,50.87480321285141,3.682168743277353,0,3450,1510
6.042803212851406,50.87480321285141,3.633136941293263,0,4019,2068
5.695301204819277,50.89154618473896,4.071577007074958,0,2781,2246
5.717020080321285,50.89154618473896,4.079659122361887,0,4234,2246
5.738738955823294,50.89154618473896,4.081999138695437,0,5727,695
5.760457831325302,50.89154618473896,4.078470701498389,0,7031,695
5.782176706827309,50.89154618473896,4.069066185106273,0,7979,695
5.803895582329318,50.89154618473896,4.0539007396208575,0,9037,458
5.825614457831326,50.89154618473896,4.033208926753824,0,10171,458
5.847333333333333,50.89154618473896,4.007334298915607,0,11396,458
5.869052208835342,50.89154618473896,3.976713048267538,0,10224,458
5.89077108433735,50.89154618473896,3.941853426748904,0,8909,458
5.912489959839357,50.89154618473896,3.903312930691248,0,7673,393
5.934208835341366,50.89154618473896,3.861675237091084,0,6562,393
5.955927710843374,50.89154618473896,3.817528617255887,0,5649,1948
5.977646586345382,50.89154618473896,3.771447122804712,0,5045,1948
5.99936546184739,50.89154618473896,3.72397533819963,0,4864,1510
6.021084337349398,50.89154618473896,3.6756170117287623,0,5152,1510
6.042803212851406,50.89154618473896,3.626827475764775,0,5814,2068
5.717020080321285,50.9082891566265,4.071131909010971,0,4030,695
5.738738955823294,50.9082891566265,4.072809451952924,1,4640,695
5.760457831325302,50.9082891566265,4.068718010773406,0,5576,695
5.782176706827309,50.9082891566265,4.058854374497856,0,6643,695
5.803895582329318,50.9082891566265,4.043335496206936,0,7824,458
5.825614457831326,50.9082891566265,4.022395194636029,0,9109,458
5.847333333333333,50.9082891566265,3.996373920702145,0,10450,458
5.869052208835342,50.9082891566265,3.965702699526143,0,11228,458
5.89077108433735,50.9082891566265,3.930882924385626,0,10046,458
5.912489959839357,50.9082891566265,3.892463966079776,0,8969,458
5.934208835341366,50.9082891566265,3.851020552576705,0,8039,1948
5.955927710843374,50.9082891566265,3.807131613843383,0,7314,1948
5.977646586345382,50.9082891566265,3.761361860405175,0,6857,1948
5.99936546184739,50.9082891566265,3.7142468698448377,0,6726,1510
6.021084337349398,50.9082891566265,3.666281980704534,0,6937,1510
6.042803212851406,50.9082891566265,3.617914899651778,0,7462,1510
5.738738955823294,50.92503212851405,4.059509923410525,0,3183,695
